gas_price,gas_used,nonce
12831246396,2075068,0
7108286788,1117549,10059
32867814626,500000,2296
14615600782,500000,4784
18000000000,90000,3476
9183364426,404733,45498
80028362589,228263,115637
25870000000,222196,308
7958062761,240714,115636
11937094141,238082,76130
13893043374,150584,5459
28112811849,155412,85504
13634989475,406086,103
10111671265,175350,85503
16890880926,315394,8826
27696596299,200000,1304
517232935544,249160,33854
18526513444,217822,459
10111671265,280482,33853
14623995970,156563,4564
15380250173,305918,289
15380250173,48897,288
12710927446,352006,6
15380250173,396935,277
16918290571,45038,636
16918290571,305947,51
16918290571,48897,50
10987779191,294020,5
14048488173,500000,4859
14048488173,500000,2484
18929779548,300000,162400
15187004302,219328,10858
15187004302,302512,10517
50000000000,303999,3
13483321638,242256,82234
15187004302,240608,10302
97941940760,446110,33852
42270000000,216413,26
8988881092,261284,33851
82928113549,407391,65
63594087684,148237,24644
15187004302,245712,3550
15187004302,307848,10444
23554890348,214591,13985
14458322521,207981,75
11522554359,232040,92034
23681204717,300002,105036
13204845067,219980,3571
66007888288,500000,1627
11522554359,238402,100226
14876702774,250000,44708038
14876702774,250000,44708037
14876702774,250000,44708036
14876702774,250000,44708035
14876702774,250000,44708034
8767766457,3128392,1144
15040317340,300002,105035
12186807885,305933,18
12186807885,48897,17
12284361505,46255,22
11265329732,130468,425
12688769589,248328,79670
8459179726,330880,20396
11202996911,151008,11106
14379101131,217480,3664
39265632948,478527,711
11352928401,602526,11782
244102554160,486125,11781
26781847327,1517133,6132
13058395678,46213,4563
13208693808,500000,4665
19141517351,151008,11105
223076317313,98067,8000
31010000000,689876,7750
17462614127,107318,7999
17582348432,417089,276
17582348432,83086,275
32361653685,21000,11604
150000000000,175810,143
150000000000,175810,158
150000000000,175810,100
150000000000,175810,206
28540720698,300015,162396
23000000000,210000,21
43262292573,257602,10951
35000000000,100000,2
25000000000,46129,4562
20602046322,222008,103020
20602046322,238340,101239
15167266673,180182,22924
16307395678,600000,1781
17891061169,500000,2295
18314763876,238114,79668
18314763876,238388,99880
45292955816,147956,24643
38496716058,208078,68108
16324980006,152805,1333
10421676055,213059,68107
48645504852,166799,8562
17749947431,407501,212
13027095068,208420,8561
15632514082,243438,74665
12284361505,46267,42
17186150401,115850,9416
20660288278,151364,33850
15026233006,180190,618
9264674959,205094,33849
13897012438,236546,101237
24266035904,195060,11104
48613006868,500000,1646
80261406507,169225,74
92335881756,404674,75
15605467624,312682,3631
970303341959,71000,75
11000000000,221551,1899
100000000000,250000,1
117467739862,150876,33848
12771109608,130293,232
7321205125,170406,33847
10981807687,227812,92995
76656591916,500000,1774
10981807687,299360,74664
12646534801,250510,10955
16309618498,573967,1714
10031211108,388263,10183
13328217917,411786,4905
10648042111,151253,24642
10000000000,506564,29
12067780826,270937,22923
12026111536,324200,74663
36468806404,350000,15755
10053528218,243673,31
7017417691,350000,15754
400000000000,700000,6162
27000000000,150000,976688
10526111535,226570,110202
18521189163,600000,1790
12184001115,242616,3618
12184001115,219316,10476
12671893656,500001,8018
7894583651,230000,18825
12870000000,212957,73
12184001115,307716,10753
103133460826,500000,1867
12046652471,300015,105032
13251317720,300015,162393
14506022175,700000,10905
38034662984,223072,10889
56069008458,297680,3606
